Country,Latitude,Longitude,Confirmed,Deaths,Recovered,GDP,GDP Per Capita,Population,Median Age,Hospital Bed Per 1000 Population Rate,Life Expectancy (years),Unemployment Rate (%),2017 Health Budget per Capita ($),Poverty (% of Pop),Literacy Rate (% of Pop),Gender (% of male)
Guadeloupe,16.265,-61.551,56.0,0.0,0.0,10300000000.0,25479.0,395700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,13.4443,144.7937,0.0,1.0,0.0,0.0,0.0,0,29.1,0.0,76.4,4.5,0.0,23.0,0.0,51.4563
Guatemala,15.7835,-90.2308,19.0,1.0,0.0,87629000000.0,4891.2209,17915568,22.5,0.6,71.8,2.3,260.0,59.3,81.5,49.7487
Guernsey,49.45,-2.58,0.0,0.0,0.0,0.0,0.0,0,44.0,0.0,82.7,1.2,0.0,0.0,0.0,49.7487
Guinea,9.9456,-9.6966,2.0,0.0,0.0,13603000000.0,1035.8039,13132795,19.0,0.3,62.1,2.7,34.0,47.0,30.4,50.0
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,1669000000.0,848.0687,1968001,17.8,1.0,61.4,0.0,52.0,67.0,59.9,48.7179
Guyana,4.8604,-58.9302,7.0,1.0,0.0,4609000000.0,5859.7524,786552,26.7,1.6,68.9,11.1,231.0,35.0,88.5,50.495
Haiti,18.9712,-72.2852,2.0,0.0,0.0,9648000000.0,846.1282,11402528,23.3,0.7,64.6,40.6,62.0,58.5,60.7,49.4949
Honduras,15.2,-86.2419,26.0,0.0,0.0,25560000000.0,2580.6173,9904607,23.3,0.7,71.3,5.6,196.0,29.6,89.0,50.2488
Hong Kong,0.0,0.0,0.0,0.0,0.0,402034000000.0,53626.1196,7496981,44.8,5.4,83.1,3.1,0.0,19.9,0.0,46.5241
Hungary,47.1625,19.5033,131.0,6.0,16.0,177734000000.0,18398.2963,9660351,42.7,7.0,76.3,4.2,981.0,14.9,99.1,47.644
Iceland,64.9631,-19.0208,568.0,1.0,36.0,26821000000.0,78597.9493,341243,36.7,3.4,83.1,2.8,6086.0,0.0,0.0,50.0
India,20.5937,78.9629,396.0,7.0,27.0,3257720000000.0,2360.6592,1380004385,28.1,0.7,69.1,8.5,69.0,21.9,71.2,51.9231
Indonesia,-0.7893,113.9213,514.0,48.0,29.0,1208860000000.0,4419.5818,273523615,30.5,1.2,73.2,5.4,115.0,10.9,95.4,50.0
Iran,32.4279,53.688,21638.0,1685.0,7931.0,495694000000.0,5901.6144,83992949,30.8,0.2,74.2,11.8,475.0,18.7,85.5,50.7389
Iraq,33.2232,43.6793,233.0,20.0,57.0,246932000000.0,6139.151999999999,40222492,20.2,1.4,74.9,16.0,210.0,23.0,79.7,50.495
Ireland,53.1424,-7.6921,906.0,4.0,5.0,405185000000.0,82058.0317,4937786,37.1,2.8,81.0,6.7,4977.0,8.2,0.0,50.0
Isle Of Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.4,0.0,81.4,1.1,0.0,0.0,0.0,50.0
Israel,31.0461,34.8516,1071.0,1.0,37.0,403961000000.0,46670.8297,8655535,30.1,3.1,82.7,4.2,3145.0,22.0,97.8,50.2488
Italy,41.8719,12.5674,59138.0,5476.0,7024.0,2090450000000.0,34574.7083,60461825,45.8,3.4,82.4,11.3,2840.0,29.9,99.2,48.1865
